source,author,title,description,url,urlToImage,publishedAt,content,source_name
"{'id': 'reuters', 'name': 'Reuters'}",,Remainers seek voice in UK's post-Brexit cacophony - Reuters,"UK Remainers may take a crumb of comfort as Prime Minister Boris Johnson, elected on a promise to ""Get Brexit Done"", sees his poll support dive after a string of scandals.",https://www.reuters.com/world/uk/remainers-seek-voice-uks-post-brexit-cacophony-2021-12-14/,https://www.reuters.com/resizer/RVzvlxzqhBZIblS0THGKZUuwR-o=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5ZJEWIYHXJI43JQT7FD4JN4TCI.jpg,2021-12-14T07:11:00Z,"LONDON, Dec 14 (Reuters) - UK Remainers may take a crumb of comfort as Prime Minister Boris Johnson, elected on a promise to ""Get Brexit Done"", sees his poll support dive after a string of scandals.… [+5067 chars]",Reuters
"{'id': None, 'name': 'New York Times'}",Tanya Gold,"Boris Johnson, Facing Omicron and Scandal, Is in Trouble","Britons don’t know whether the prime minister can save himself, let alone Christmas.",https://www.nytimes.com/2021/12/14/opinion/boris-johnson-britain-omicron.html,https://static01.nyt.com/images/2021/12/14/multimedia/14gold_2/14gold_2-facebookJumbo.jpg,2021-12-14T06:00:05Z,"There is every sign that the spell Mr. Johnson cast over the country is cracking, that people are waking up to the truth of him. The latest polls show the Conservative Party sliding to second place w… [+2337 chars]",New York Times
"{'id': None, 'name': 'The Guardian'}",Daniel Boffey in Brussels,France drops threat of trade war over post-Brexit fishing rights,Macron government backs down after UK and Channel Islands governments agree to more licencesFrance has quietly dropped its threat of a trade war over post-Brexit access to fishing waters after the UK and Channel Islands governments agreed to issue 83 more ope…,https://amp.theguardian.com/environment/2021/dec/12/france-drops-threat-of-trade-war-over-post-brexit-fishing-rights,https://i.guim.co.uk/img/media/22eb068b0afb88cc5a05e12009d4a1ddceda419b/0_440_8640_5184/master/8640.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=5ed80af5694dc29729fbb72acf648009,2021-12-12T15:00:25Z,France has quietly dropped its threat of a trade war over post-Brexit access to fishing waters after the UK and Channel Islands governments agreed to issue 83 more operating licences before an EU dea… [+2825 chars],The Guardian
"{'id': None, 'name': 'The Guardian'}",Rob Davies,A third of UK importers not ready for full Brexit customs checks – survey,"IoD warns a lack of preparedness will exacerbate port congestion as grace period ends in JanuaryNearly a third of British companies that import goods from the EU are “not at all prepared” for full post-Brexit customs checks, according to a survey of business …",https://amp.theguardian.com/business/2021/dec/13/a-third-of-uk-importers-not-ready-for-full-brexit-customs-checks-survey,https://i.guim.co.uk/img/media/c250acab4faccbdadfc3f8bbc989ffd0bed4a07c/0_278_5568_3341/master/5568.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=fa8ff0709e15806e07585ed570200885,2021-12-13T17:17:37Z,"Nearly a third of British companies that import goods from the EU are not at all prepared for full post-Brexit customs checks, according to a survey of business leaders, sparking fears of increased c… [+2515 chars]",The Guardian
"{'id': None, 'name': 'The Guardian'}",James Tapper,‘He’s clueless’: faith in Boris Johnson wavers in Tory stronghold Margate,"Doubts about the prime minister’s ability are even being voiced among Conservative voters in pro-Brexit ThanetThe citizens of Margate, wrote TS Eliot, were “humble people who expect nothing”. That seems to include their expectations of prime minister Boris Jo…",https://amp.theguardian.com/politics/2021/dec/12/hes-clueless-faith-in-boris-johnson-wavers-in-tory-stronghold-margate,https://i.guim.co.uk/img/media/d78c3ee23a7b3a437b7663ff0d755dcba7fc4bef/0_360_6720_4032/master/6720.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=d7322834126f8735f9f769fe764967e0,2021-12-12T07:45:32Z,"The citizens of Margate, wrote TS Eliot, were humble people who expect nothing. That seems to include their expectations of prime minister Boris Johnson.
After weeks of revelations about lockdown Ch… [+5092 chars]",The Guardian
"{'id': 'reuters', 'name': 'Reuters'}",,IMF urges UK to give non-banks access to liquidity in market crises - Reuters,"Britain should consider giving 'non-banks' access to its repurchase agreements and government bond operations as a source of liquidity in stressed markets, the International Monetary Fund recommended on Tuesday.",https://www.reuters.com/markets/europe/imf-urges-uk-give-non-banks-access-liquidity-market-crises-2021-12-14/,https://www.reuters.com/resizer/O3oNdNG6rhozprL6ptTtkCIG4bM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/AS4WJN4QDNLN3IYVUFVAG2CEVY.jpg,2021-12-14T12:00:00Z,"LONDON, Dec 14 (Reuters) - Britain should consider giving 'non-banks' access to its repurchase agreements and government bond operations as a source of liquidity in stressed markets, the Internationa… [+2199 chars]",Reuters
"{'id': None, 'name': 'The Guardian'}",Guardian Staff,Local councils have been undermined | Letters,"Regional democracy in England should be brought into line with the other UK nations – but no more mayors pleasePhillip Inman’s article on the dire state of local government finances sheds a light on what has been going on for decades, something I witnessed as…",https://amp.theguardian.com/theobserver/commentisfree/2021/dec/12/observer-letters-local-councils-have-been-emasculated,https://i.guim.co.uk/img/media/35bfc09ae2a4fae00ae41494ba9e51fa0a62dc4e/0_105_5616_3370/master/5616.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=b80931b0d26414161ccf390e53f6b7a2,2021-12-12T06:00:30Z,"Phillip Inmans article on the dire state of local government finances sheds a light on what has been going on for decades, something I witnessed as a councillor on various authorities between 1987 an… [+5469 chars]",The Guardian
"{'id': None, 'name': 'The Guardian'}",Erica Jeal,L’Enfance du Christ review – characterful and vivid Berlioz,"St Martin-in-the-Fields, LondonThe Christmas oratorio about the holy family’s flight into Egypt was beautifully performed by John Eliot Gardiner’s Monteverdi Choir and Orchestre Révolutionnaire et Romantique and a top-flight cast of soloistsA stone’s throw fr…",https://amp.theguardian.com/music/2021/dec/13/berlioz-lenfance-du-christ-review-john-eliot-gardiner-monteverdi-choir-st-martin-in-the-fields,https://i.guim.co.uk/img/media/9f95ba41768e7f1f59d05eb10cfe51f8bbcbb16d/0_176_4108_2465/master/4108.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctcmV2aWV3LTQucG5n&enable=upscale&s=cf177b2258073a6c5f93031e92e33ad7,2021-12-13T06:00:06Z,"A stones throw from the church of St Martin-in-the-Fields, in the National Gallery, you can see what the old Flemish painters made of the story of the holy familys flight into Egypt, Here, with John … [+2487 chars]",The Guardian
"{'id': 'reuters', 'name': 'Reuters'}",,Billionaire Drahi plays the long game at BT - Reuters,"Patrick Drahi is playing the long game at BT <a href=""https://www.reuters.com/companies/BT.L"" target=""_blank"">(BT.L)</a>. The Franco-Israeli billionaire <a href=""https://investegate.co.uk/altice-uk-s.a-r.l./rns/statement-regarding-bt-group-plc/202112140700065…",https://www.reuters.com/breakingviews/billionaire-drahi-plays-long-game-bt-2021-12-14/,https://www.reuters.com/resizer/KF_niYJYzvykXSvDDwMEhbByVi8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XHQBUUYTQFJETN7KZ3O5YD7SHM.jpg,2021-12-14T12:06:00Z,"LONDON, Dec 14 (Reuters Breakingviews) - Patrick Drahi is playing the long game at BT (BT.L). The Franco-Israeli billionaire says he doesnt want to buy the 17 billion pound UK telecoms group; increas… [+3710 chars]",Reuters
"{'id': 'reuters', 'name': 'Reuters'}",,Explainer: Can joint gas buying tackle Europe's high prices? - Reuters,"The European Union is expected to propose a system this week to allow countries to jointly buy strategic stocks of gas, a measure drawn up in response to soaring energy prices.<a href=""/markets/commodities/eu-propose-joint-gas-buying-response-high-energy-pric…",https://www.reuters.com/markets/commodities/can-joint-gas-buying-tackle-europes-high-prices-2021-12-13/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=63,2021-12-13T14:40:00Z,"BRUSSELS/LONDON, Dec 13 (Reuters) - The European Union is expected to propose a system this week to allow countries to jointly buy strategic stocks of gas, a measure drawn up in response to soaring e… [+4907 chars]",Reuters
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Philip Aldrick,U.K. Took 12.6 Billion Brexit Hit on Trade in October,U.K. trade in goods took a 12.6 billion pound ($16.7 billion) hit from Brexit in October as imports and exports fell behind equivalent countries.,https://www.bloomberg.com/news/articles/2021-12-13/u-k-takes-16-7-billion-brexit-hit-on-trade-in-october,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iEv2_np.wRWU/v0/1200x766.jpg,2021-12-13T15:12:55Z,"Follow us at 
@BloombergUK for the latest news and analysis.
U.K. trade in goods took a 12.6 billion pound ($16.7 billion) hit from Brexit in October as imports and exports fell behind equivalent c… [+954 chars]",Bloomberg
"{'id': None, 'name': 'The Guardian'}",Toby Helm,Obama gives tips to Starmer and Lammy on how Labour can regain ‘winning ways’,"Opposition leader and shadow foreign secretary talk strategy with key Washington figures, saying US election holds ‘stark lessons’Keir Starmer and the new shadow foreign secretary David Lammy held two hours of private talks with former US president Barack Oba…",https://amp.theguardian.com/politics/2021/dec/12/barack-obama-gives-tips-to-keir-starmer-and-david-lammy-on-how-labour-can-regain-winning-ways,https://i.guim.co.uk/img/media/0fbed2b25e237f4d3f8936850fc6f4a4a5d5062b/0_116_2030_1219/master/2030.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=711f0958cf724ec304427b17b5e35523,2021-12-12T08:45:33Z,Keir Starmer and the new shadow foreign secretary David Lammy held two hours of private talks with former US president Barack Obama last week about how centre-left parties can return to power amid ne… [+5551 chars],The Guardian
"{'id': None, 'name': 'Dezeen'}",Amy Frearson,"Furniture brands raise prices due to ""excessive rise"" in cost of materials and transport","Leading furniture and homeware brands including IKEA, Piet Hein Eek and Axor are raising prices by up to eight per cent due to global shipping issues and material shortages. Read more",http://www.dezeen.com/2021/12/13/furniture-brands-price-increase-supply-chain-issues/,https://static.dezeen.com/uploads/2021/12/furniture-brands-price-increase-materials-square_dezeen_2364_col_0-1024x1024.jpg,2021-12-13T14:00:44Z,"Leading furniture and homeware brands including IKEA, Piet Hein Eek and Axor are raising prices by up to eight per cent due to global shipping issues and material shortages.
Brands are blaming ""expo… [+4964 chars]",Dezeen
